USER_ID,CONTA_ESTRATEGICA,STATUS
0002782583,1,C
0002789524,1,C
0001130907,1,C
0002791469,1,C
0002782364,1,C
0002789954,1,C
0001143818,1,C
0001130883,1,C
0001167241,1,C
0001167271,1,C
0002505502,1,C
0002505551,1,C
0002790380,1,C
0002784958,1,C
0001155243,1,C
0001155217,1,C
0001155220,1,C
0001155224,1,C
0001155231,1,C
0001154609,1,C
0001154421,1,C
0001154436,1,C
0001154437,1,C
0001154439,1,C
0001154440,1,C
0001154445,1,C
0001154458,1,C
0001154466,1,C
0001154312,1,C
0001154340,1,C
0001154359,1,C
0001154365,1,C
0001154366,1,C
0001154367,1,C
0001154371,1,C
0001154375,1,C
0001154379,1,C
0001154390,1,C
0001155826,1,C
0001155828,1,C
0001155842,1,C
0001155854,1,C
0001155755,1,C
0001155764,1,C
0001155767,1,C
0001155768,1,C
0001155781,1,C
0001155786,1,C
0001154843,1,C
0001154845,1,C
0001154866,1,C
0001154872,1,C
0001154884,1,C
0001154885,1,C
0001154886,1,C
0001154899,1,C
0001155234,1,C
0001155238,1,C
0001155267,1,C
0001155272,1,C
0001155274,1,C
0001155276,1,C
0001154680,1,C
0001154691,1,C
0001154700,1,C
0001154707,1,C
0001154735,1,C
0001154761,1,C
0001154769,1,C
0001154771,1,C
0001154791,1,C
0001154663,1,C
0001154669,1,C
0001154677,1,C
0001154678,1,C
0001155295,1,C
0001155301,1,C
0001155302,1,C
0001155317,1,C
0001155319,1,C
0001155796,1,C
0001155235,1,C
0001155240,1,C
0001155252,1,C
0001155269,1,C
0001155136,1,C
0001155137,1,C
0001155145,1,C
0001155156,1,C
0001155159,1,C
0001155181,1,C
0001155182,1,C
0001155186,1,C
0001155204,1,C
0001155211,1,C
0001155219,1,C
0001155227,1,C
0001155230,1,C
0001118616,1,C
0001121560,1,C
0001121733,1,C
0001122177,1,C
0001122495,1,C
0001123058,1,C
0001122815,1,C
0001122912,1,C
0001123641,1,C
0001123533,1,C
0001126003,1,C
0001126774,1,C
0001127302,1,C
0001127815,1,C
0001128728,1,C
0001128910,1,C
0001129428,1,C
0001130342,1,C
0001131014,1,C
0001132807,1,C
0001134876,1,C
0001135266,1,C
0001133679,1,C
0001133937,1,C
0001134198,1,C
0001134697,1,C
0001134330,1,C
0001135022,1,C
0001135203,1,C
0001135237,1,C
0001135971,1,C
0001136148,1,C
0001136238,1,C
0001136590,1,C
0001137714,1,C
0001137154,1,C
0001138392,1,C
0001139531,1,C
0001139508,1,C
0001140751,1,C
0001141113,1,C
0001141305,1,C
0001142031,1,C
0001143270,1,C
0001144360,1,C
0001144780,1,C
0001148659,1,C
0001144919,1,C
0001146244,1,C
0001145284,1,C
0001146035,1,C
0001146372,1,C
0001146954,1,C
0001147313,1,C
0001147424,1,C
0001148095,1,C
0001149039,1,C
0001148555,1,C
0001149103,1,C
0001150181,1,C
0001150080,1,C
0001150834,1,C
0001151411,1,C
0001156157,1,C
0001154544,1,C
0001152685,1,C
0001153200,1,C
0001155468,1,C
0001154399,1,C
0001155376,1,C
0001155740,1,C
0001155931,1,C
0001156089,1,C
0001155641,1,C
0001157201,1,C
0001159056,1,C
0001157726,1,C
0001159379,1,C
0001158379,1,C
0001158435,1,C
0001160867,1,C
0001161374,1,C
0001161924,1,C
0001160566,1,C
0001160972,1,C
0001161945,1,C
0001162475,1,C
0001163156,1,C
0001163075,1,C
0001163577,1,C
0001163657,1,C
0001165004,1,C
0001165644,1,C
0001166839,1,C
0001168093,1,C
0001168102,1,C
0001168569,1,C
0001168672,1,C
0001168933,1,C
0001169310,1,C
0001169414,1,C
0001169912,1,C
0001170589,1,C
0001170870,1,C
0001178873,1,C
0001179502,1,C
0001180183,1,C
